ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,Re
139,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,67.36
140,1,0,0.6,0.277013898,0.301070839,1000,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,30.58
141,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,200,4,25,0.25,170,0.7,20.2604451
142,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,200,4,25,0.5,170,0.7,28.02701807
143,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,1,0,0,120000,200,4,25,3.5,170,0.7,45.58289595
144,0,1,0.6,0.277013898,0.668825209,2450,1.52012217,0,1,0,0,120000,200,4,25,12.5,170,0.7,55.74003305
145,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,22.5,170,0.7,61.5763497
146,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,33.5,170,0.7,66.58590658
147,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,46,170,0.7,66.58590658
148,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,57.5,170,0.7,67.45890417
149,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,69.5,170,0.7,67.09107198
150,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,81.5,170,0.7,67.78049853
151,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,100,4,25,48,170,0.7,33.2
152,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,67.9
153,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,300,4,25,48,170,0.7,89.12
154,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,1,0,0,120000,500,4,25,48,170,0.7,96.6
155,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,700,4,25,48,170,0.7,98.50000003
156,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1100,4,25,48,170,0.7,100
157,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1500,4,25,48,170,0.7,100
158,0,1,0.6,0.277013898,0.668445468,2450,1.52012217,0,1,0,0,120000,1900,4,25,48,170,0.7,100
159,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,2,25,48,170,0.7,84.59217
160,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,3,25,48,170,0.7,76.53413
161,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,70.13185
162,0,1,0.6,0.277013898,0.670117736,2450,1.52012217,0,1,0,0,120000,200,5,25,48,170,0.7,67.86897
163,0,1,0.6,0.277013898,0.670117736,2450,1.52012217,0,1,0,0,120000,200,6,25,48,170,0.7,67.42744
164,0,1,0.6,0.277013898,0.670191109,2450,1.52012217,0,1,0,0,120000,200,7,25,48,170,0.7,67.42744
165,0,1,0.6,0.277013898,0.669770956,2450,1.52012217,0,1,0,0,120000,200,8,25,48,170,0.7,67.20667
166,0,1,0.6,0.277013898,0.668801367,2450,1.52012217,0,1,0,0,120000,200,9,25,48,170,0.7,66.82032
167,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0.7,86.44207
168,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,57.5121
169,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,57.5121
170,0,1,0.6,0.277013898,0.668825209,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,55.34966
171,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,48.97922
172,0,1,0.6,0.277013898,0.668649018,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,48.80389
173,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0.7,88.42918
174,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,67.62298
175,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,83.86015
176,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,67.59331
177,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,24,120,0,4.574
178,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,48,120,0,3.131
179,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,72,120,0,8.275
180,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,120,120,0,10.408
181,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,168,120,0,8.777
182,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,240,120,0,9.467
183,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,24,120,0,13.92
184,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,48,120,0,16.743
185,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,72,120,0,12.038
186,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,120,120,0,22.89
187,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,168,120,0,15.802
188,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,240,120,0,13.92
189,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,24,120,0,16.555
190,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,48,120,0,22.388
191,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,72,120,0,20.068
192,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,120,120,0,35.561
193,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,168,120,0,35.122
194,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,240,120,0,42.837
195,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,24,120,0,32.488
196,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,48,120,0,40.517
197,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,72,120,0,59.084
198,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,120,120,0,62.095
199,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,168,120,0,73.197
200,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,240,120,0,71.504
201,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,24,120,0,54.81800001
202,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,48,120,0,57.89199999
203,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,72,120,0,61.15400001
204,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,120,120,0,81.85400001
205,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,168,120,0,88.44
206,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,240,120,0,91.263
207,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,24,120,0,52.497
208,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,48,120,0,70.375
209,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,72,120,0,88.189
210,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,120,120,0,94.525
211,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,168,120,0,98.539
212,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,240,120,0,99.731
213,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,24,120,0,72.946
214,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,48,120,0,89.883
215,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,72,120,0,97.84899998
216,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,120,120,0,98.53899998
217,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,168,120,0,99.99999998
218,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,240,120,0,99.99999998
219,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,24,120,0,82.356
220,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,48,120,0,94.776
221,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,72,120,0,97.347
222,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,120,120,0,99.48
223,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,168,120,0,100
224,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,240,120,0,100
225,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0
226,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,3.913
227,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,16.494
228,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,19.916
229,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,24.805
230,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,31.291
231,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0
232,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,17.524
233,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,29.477
234,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,38.63
235,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,42.65
236,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,54.89
237,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,0
238,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,48.2
239,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,64.637
240,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,71.992
