ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,q
175,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,0,0,1,120000,200,4,25,48,170,0,503.1609
176,0,1,0.6,0.277013898,0.668997526,2450,1.52012217,0,1,0,0,120000,200,4,25,48,170,0.7,405.55986
177,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,24,120,0,18.296
178,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,48,120,0,12.524
179,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,72,120,0,33.1
180,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,120,120,0,41.632
181,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,168,120,0,35.108
182,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,25,4.5,20,240,120,0,37.868
183,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,24,120,0,27.84
184,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,48,120,0,33.486
185,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,72,120,0,24.076
186,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,120,120,0,45.78
187,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,168,120,0,31.604
188,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,50,4.5,20,240,120,0,27.84
189,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,24,120,0,16.555
190,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,48,120,0,22.388
191,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,72,120,0,20.068
192,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,120,120,0,35.561
193,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,168,120,0,35.122
194,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,100,4.5,20,240,120,0,42.837
195,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,24,120,0,16.244
196,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,48,120,0,20.2585
197,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,72,120,0,29.542
198,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,120,120,0,31.0475
199,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,168,120,0,36.5985
200,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,200,4.5,20,240,120,0,35.752
201,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,24,120,0,18.27266667
202,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,48,120,0,19.29733333
203,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,72,120,0,20.38466667
204,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,120,120,0,27.28466667
205,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,168,120,0,29.48
206,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,300,4.5,20,240,120,0,30.421
207,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,24,120,0,10.4994
208,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,48,120,0,14.075
209,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,72,120,0,17.6378
210,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,120,120,0,18.905
211,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,168,120,0,19.7078
212,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,500,4.5,20,240,120,0,19.9462
213,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,24,120,0,9.726133333
214,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,48,120,0,11.9844
215,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,72,120,0,13.04653333
216,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,120,120,0,13.13853333
217,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,168,120,0,13.33333333
218,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,750,4.5,20,240,120,0,13.33333333
219,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,24,120,0,8.2356
220,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,48,120,0,9.4776
221,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,72,120,0,9.7347
222,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,120,120,0,9.948
223,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,168,120,0,10
224,1,0,0.85,0.347031921,0.22,593,1.39,0,0,0,1,10000,1000,4.5,20,240,120,0,10
225,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0
226,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0.019565
227,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0.08247
228,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0.09958
229,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0.124025
230,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,20,240,120,0,0.156455
231,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0
232,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0.08762
233,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0.147385
234,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0.19315
235,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0.21325
236,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,40,240,120,0,0.27445
237,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,0
238,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,0.241
239,1,0,0.85,0.347031921,0.106,336,1.27,1,0,0,1,10000,20000,9,60,240,120,0,0.323185
