ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,Re
132,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,2,63.57
133,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,4,67.2
134,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,8,65.41
135,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,0,51.34
136,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,2,63.41
137,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,4,81.1
138,0,0,1,2.5,1,0,0.55,0.75,0.318617821,0.203826249,1050,1.499926925,0,10000,7.5,25,0.25,250,0,8,87.06
139,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,67.36
140,0,0,0,120000,1,0,0.6,0.85,0.314636469,0.270592153,1000,1.52012217,0,200,4,25,48,170,0.7,63.2,30.58
141,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638633549,2450,1.52012217,0,200,4,25,0.25,170,0.7,63.2,20.2604451
142,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638633549,2450,1.52012217,0,200,4,25,0.5,170,0.7,63.2,28.02701807
143,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638633549,2450,1.52012217,0,200,4,25,3.5,170,0.7,63.2,45.58289595
144,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,12.5,170,0.7,63.2,55.74003305
145,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,22.5,170,0.7,63.2,61.5763497
146,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,33.5,170,0.7,63.2,66.58590658
