ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,q
174,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,405.73788
175,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,503.1609
176,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,405.55986
177,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,24,120,0,0,18.296
178,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,48,120,0,0,12.524
179,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,72,120,0,0,33.1
180,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,120,120,0,0,41.632
181,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,168,120,0,0,35.108
182,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,240,120,0,0,37.868
183,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,24,120,0,0,27.84
184,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,48,120,0,0,33.486
185,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,72,120,0,0,24.076
186,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,120,120,0,0,45.78
187,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,168,120,0,0,31.604
188,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,240,120,0,0,27.84
189,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,24,120,0,0,16.555
190,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,48,120,0,0,22.388
191,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,72,120,0,0,20.068
192,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,120,120,0,0,35.561
193,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,168,120,0,0,35.122
194,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,240,120,0,0,42.837
195,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,24,120,0,0,16.244
196,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,48,120,0,0,20.2585
